place_id,name,description,reviews,rating,featured_image,address,review_keywords,link,coordinates
tengah_1001,WISATA GREEN BEACH Paya Dua Peudawa Aceh timur,-,73,4.1,https://lh3.ggpht.com/p/AF1QipNaiu0ElDhU3hB1qqjQi8nCsCMkUlraufSUa4NU=s1024,"Paya Dua, Kec. Peudawa, Kabupaten Aceh Timur, Aceh",alami,https://www.google.com/maps/place/WISATA+GREEN+BEACH+Paya+Dua+Peudawa+Aceh+timur/data=!4m7!3m6!1s0x3037f913398474cf:0x667b10eaf8674292!8m2!3d4.9032038!4d97.8499455!16s%2Fg%2F11g6xbc88l!19sChIJz3SEORP5NzARkkJn-OoQe2Y?authuser=0&hl=id&rclk=1,"4.9032038, 97.84994549999999"
tengah_1002,Pantai Meurah Seutia (MANOHARA),-,255,4.2,https://lh3.ggpht.com/p/AC9h4nqEx00T56a8W9VrVXkjZ-cH3PqKLYncwRyo8CWaTct08lEuds_AgXmgv4eFLeEytdCcFD-VnLUzjnmaUH6RbS0ExRsHWR7p8kK2uTV_rBakzRbOfd0wmyFviMmb8JFKrEjDKO00=s1024,"Jl. Revolusi, Kota Meureudu, Kec. Meureudu, Kabupaten Pidie Jaya, Aceh","tempat wisata, islami, cafe",https://www.google.com/maps/place/Pantai+Meurah+Seutia+%28MANOHARA%29/data=!4m7!3m6!1s0x3040b0beb437047b:0x5957c96950258362!8m2!3d5.2625895!4d96.2546117!16s%2Fg%2F11c1xdtjbj!19sChIJewQ3tL6wQDARYoMlUGnJV1k?authuser=0&hl=id&rclk=1,"5.2625895, 96.2546117"
tengah_1003,Pantai Ulee Lheue,-,626,4.5,https://lh3.ggpht.com/p/AC9h4noGg6h8A_l1Rkpoc2UjJl7-ckPyptrQnP1dR7dlDY1w128r0_3uloacaAWyf2rwtldNH3-6TS5atoL5y5zrSsiGUwV8LbAbruMo12ZGijf_u_Pu1vvVEsOBXVyeOT5sRzxW07R8=s1024,"Ulee Lheue, Kec. Meuraxa, Kota Banda Aceh, Aceh","sore, laut, pelabuhan, pemandangan, jagung, santai, foto, pedagang, angin, rekreasi",https://www.google.com/maps/place/Pantai+Ulee+Lheue/data=!4m7!3m6!1s0x304030c17e7189c1:0xf85086894a0f5897!8m2!3d5.5643903!4d95.2923091!16s%2Fg%2F11b_2sg65l!19sChIJwYlxfsEwQDARl1gPSomGUPg?authuser=0&hl=id&rclk=1,"5.5643902999999995, 95.2923091"
tengah_1004,Pantai Suak Geudebang,-,37,3.8,https://lh3.ggpht.com/p/AC9h4nq9a7Hj5ZtPpLYzXrCICF1NmWl9YejpUMdQGcF0ES3KZS98258CMemwRkGt4Py8Ot0DmaTWRd5DtPxuw7-_rMoojq6kxjmtARl81-u3GX4kMIz-xEh80EfwXu9Idk3KBxCYl9qL=s1024,"Suak Geudubang, Samatiga, Suak Geudubang, Aceh Barat, Kabupaten Aceh Barat, Aceh",minuman,https://www.google.com/maps/place/Pantai+Suak+Geudebang/data=!4m7!3m6!1s0x303ee42a5cab8a05:0x1a6f41c0cd37d0a3!8m2!3d4.2543516!4d95.9816258!16s%2Fg%2F11c3ynm965!19sChIJBYqrXCrkPjARo9A3zcBBbxo?authuser=0&hl=id&rclk=1,"4.2543516, 95.98162579999999"
tengah_1005,Pantai Batee Puteh,-,68,4.5,https://lh3.ggpht.com/p/AC9h4nruTrhlWfYOppEVfh-2oB4-WH9w9bjDfsnfh3r8plZnZr_Gg11R9VZKRIQlgjuEONAYJQt-cbxzkV1rYRo5w22aZOmh-z6Bn7g4Kdm2vQw4fjRZxMbJjSKdd37g1MhUon9mHJEI=s1024,"Lhok Aman, Kec. Meukek, Kabupaten Aceh Selatan, Aceh","batu, pantainya",https://www.google.com/maps/place/Pantai+Batee+Puteh/data=!4m7!3m6!1s0x303bcadd8d8cfefd:0x1f00565522ada654!8m2!3d3.4271838!4d97.0719988!16s%2Fg%2F11cjh_zn0c!19sChIJ_f6Mjd3KOzARVKatIlVWAB8?authuser=0&hl=id&rclk=1,"3.4271838, 97.07199879999999"
tengah_1006,Wisata Pantai Pelangi Cemara Indah,"Beach Syariah/Wisata Pantai Pelangi CEMARA INDAH Aceh Timur merupakan tujuan wisata yang bernuasa islami yang bisa di kunjungi oleh semua orang untuk menikmati keindahan pantai bersama keluarga dan orang orang terdekat, dengan mematuhi peraturan dan ketertiban yang sudah di atur oleh pihak setempat.

WAHANA DAN FASILITAS
-Banana Boat - Rp.20.000/Orang
-ATV Motor - Rp.20.000/Orang
-Musholla
-Tersedia Air Bersih Untuk Mandi (Free)
-Toilet (Free)",45,4.2,https://lh3.ggpht.com/p/AF1QipPQGU8qemiclzGMpeUb1zRONGP597w6pWzhFW9x=s1024,"Jl. Medan - Banda Aceh, Matang Rayeuk (Pr), Kec. Idi Tim., Kabupaten Aceh Timur, Aceh","liburan, santai",https://www.google.com/maps/place/Wisata+Pantai+Pelangi+Cemara+Indah/data=!4m7!3m6!1s0x3037ff05ef9f4f99:0x3809067eb3c3ec3a!8m2!3d4.9342874!4d97.8070899!16s%2Fg%2F11lh54rz81!19sChIJmU-f7wX_NzAROuzDs34GCTg?authuser=0&hl=id&rclk=1,"4.9342874, 97.8070899"
tengah_1007,Maha Corner Beach,-,59,4.2,https://lh3.ggpht.com/p/AC9h4np-lVV-neYxi8yOwi9FsoYjtFCFvOnFCGSQvF9xkOXyjcy4w3uQW4zf7GfCruYrUaR5xDZogZyQhkk-jJVKbyoCaXZBvJpiWB7758taWkRf9s8ATS54qTi5bH2VwmiWi0R5OZkX=s1024,"Jl. Pulau Kapuk, Mon Ikeun, Kec. Lhoknga, Kabupaten Aceh Besar, Aceh","pizza, sunset, ni, samudera",https://www.google.com/maps/place/Maha+Corner+Beach/data=!4m7!3m6!1s0x30403bc08328bfa9:0x5209dfa1d7907d94!8m2!3d5.4668692!4d95.2409087!16s%2Fg%2F11lsvgnzc6!19sChIJqb8og8A7QDARlH2Q16HfCVI?authuser=0&hl=id&rclk=1,"5.4668692, 95.24090869999999"
tengah_1011,Pantai Yulia Iboih,-,15,4.7,https://lh3.ggpht.com/p/AC9h4noybBKsUs3QekH3obDtk5qEprZwwRrpJodnkZSPGaHxdUCp64Ie1i-CJlucv1cluz57RRxx1UbttFSEUAasa6ZWF_xYgtEsIlnm8QtGp_aK9cVB3L37aBVU3_U1zgc4svuVBD5C=s1024,"Iboih, Sukakarya, Kota Sabang, Aceh",snorkling,https://www.google.com/maps/place/Pantai+Yulia+Iboih/data=!4m7!3m6!1s0x3041c5a02ce4f877:0x2035a39a9017ce09!8m2!3d5.8795234!4d95.2533394!16s%2Fg%2F11ghplrxpy!19sChIJd_jkLKDFQTARCc4XkJqjNSA?authuser=0&hl=id&rclk=1,"5.8795234, 95.2533394"
tengah_1025,Pantai Bangka Jaya,-,198,4.2,https://lh3.ggpht.com/p/AC9h4noAb_L2Pc6QKZuISdejNxSyDkhH40T9PxGCg-8LQazEb7LpSg6Qb4gxs12-NZ6CBo0BUo0Tr19KI3TkDeq-RDPyyEFgKzCasHxBKz1zVGyGCcDqlSJNlexl2n5ff4ifoLnC6eSxwg=s1024,"Keude Krueng Geukueh, Kec. Dewantara, Kabupaten Aceh Utara, Aceh","pantainya, luas, parkir, pabrik, masyarakat, pupuk, santai, pemandangan, kehidupan",https://www.google.com/maps/place/Pantai+Bangka+Jaya/data=!4m7!3m6!1s0x3047772eed751415:0xf8032c8d1ce0f500!8m2!3d5.2521755!4d97.0240882!16s%2Fg%2F11fhk7brd_!19sChIJFRR17S53RzARAPXgHI0sA_g?authuser=0&hl=id&rclk=1,"5.2521755, 97.0240882"
tengah_1026,Pantai Riteng,-,69,4.6,https://lh3.ggpht.com/p/AC9h4npBSx2zeydiM1IFbyUkO1peNNyDbQczOkGY2-swanBUG1s0PqGw0Gobr9-pmaGCHRwcOpCHj2faCX8Tb5EValBGx_ypPMkjJ4eHy0wujoUdBw_HtwdhoA2LHpK3HB2TobY_w91K=s1024,"Lhoknga, Dayah Mamplam, Kec. Leupung, Kabupaten Aceh Besar, Aceh","mandi, pemandangan, memancing",https://www.google.com/maps/place/Pantai+Riteng/data=!4m7!3m6!1s0x30403cc9d8a107fd:0x7f42e913bb814535!8m2!3d5.4341881!4d95.2335906!16s%2Fg%2F11byl1l85v!19sChIJ_Qeh2Mk8QDARNUWBuxPpQn8?authuser=0&hl=id&rclk=1,"5.4341881, 95.2335906"
